X1,X2,X3,Y
0,3.44,0.44,4.387545011
0.04040404,0.134949495,0.888484848,2.679649898
0.080808081,0.82989899,1.336969697,2.968489813
0.121212121,1.524848485,1.785454545,3.254064754
0.161616162,2.21979798,2.233939394,3.536374722
0.202020202,2.914747475,2.682424242,3.815419718
0.242424242,3.60969697,3.130909091,4.09119974
0.282828283,0.304646465,3.579393939,2.36371479
0.323232323,0.99959596,0.027878788,3.832964866
0.363636364,1.694545455,0.476363636,4.09894997
0.404040404,2.389494949,0.924848485,4.3616701
0.444444444,3.084444444,1.373333333,4.621125258
0.484848485,3.779393939,1.821818182,4.877315443
0.525252525,0.474343434,2.27030303,3.130240654
0.565656566,1.169292929,2.718787879,3.379900893
0.606060606,1.864242424,3.167272727,3.626296159
0.646464646,2.559191919,3.615757576,3.869426452
0.686868687,3.254141414,0.064242424,5.309291772
0.727272727,3.949090909,0.512727273,5.545892118
0.767676768,0.644040404,0.961212121,3.779227492
0.808080808,1.338989899,1.40969697,4.009297893
0.848484848,2.033939394,1.858181818,4.236103321
0.888888889,2.728888889,2.306666667,4.459643776
0.929292929,3.423838384,2.755151515,4.679919259
0.96969697,0.118787879,3.203636364,2.896929768
1.01010101,0.813737374,3.652121212,3.110675304
1.050505051,1.508686869,0.100606061,4.521155867
1.090909091,2.203636364,0.549090909,4.728371457
1.131313131,2.898585859,0.997575758,4.932322075
1.171717172,3.593535354,1.446060606,5.133007719
1.212121212,0.288484848,1.894545455,3.33042839
1.252525253,0.983434343,2.343030303,3.524584089
1.292929293,1.678383838,2.791515152,3.715474814
1.333333333,2.373333333,3.24,3.903100567
1.373737374,3.068282828,3.688484848,4.087461346
1.414141414,3.763232323,0.136969697,5.468557153
1.454545455,0.458181818,0.585454545,3.646387986
1.494949495,1.153131313,1.033939394,3.820953847
1.535353535,1.848080808,1.482424242,3.992254735
1.575757576,2.543030303,1.930909091,4.160290649
1.616161616,3.237979798,2.379393939,4.325061591
1.656565657,3.932929293,2.827878788,4.48656756
1.696969697,0.627878788,3.276363636,2.644808556
1.737373737,1.322828283,3.724848485,2.799784578
1.777777778,2.017777778,0.173333333,4.151495628
1.818181818,2.712727273,0.621818182,4.299941705
1.858585859,3.407676768,1.07030303,4.445122809
1.898989899,0.102626263,1.518787879,2.58703894
1.939393939,0.797575758,1.967272727,2.725690098
1.97979798,1.492525253,2.415757576,2.861076283
2.02020202,2.187474747,2.864242424,2.993197495
2.060606061,2.882424242,3.312727273,3.122053735
2.101010101,3.577373737,3.761212121,3.247645001
2.141414141,0.272323232,0.20969697,2.569971294
2.181818182,0.967272727,0.658181818,2.689032614
2.222222222,1.662222222,1.106666667,2.804828962
2.262626263,2.357171717,1.555151515,2.917360336
2.303030303,3.052121212,2.003636364,3.026626737
2.343434343,3.747070707,2.452121212,3.132628166
2.383838384,0.442020202,2.900606061,1.235364621
2.424242424,1.136969697,3.349090909,1.334836104
2.464646465,1.831919192,3.797575758,1.431042613
2.505050505,2.526868687,0.246060606,2.72398415
2.545454545,3.221818182,0.694545455,2.813660714
2.585858586,3.916767677,1.143030303,2.900072304
2.626262626,0.611717172,1.591515152,0.983218922
2.666666667,1.306666667,2.04,1.063100567
2.707070707,2.001616162,2.488484848,1.139717238
2.747474747,2.696565657,2.936969697,1.213068937
2.787878788,3.391515152,3.385454545,1.283155663
2.828282828,0.086464646,3.833939394,-0.650022584
2.868686869,0.781414141,0.282424242,0.613534196
2.909090909,1.476363636,0.730909091,0.673826003
2.949494949,2.171313131,1.179393939,0.730852837
2.98989899,2.866262626,1.627878788,0.784614698
3.03030303,3.561212121,2.076363636,0.835111586
3.070707071,0.256161616,2.524848485,-1.117656499
3.111111111,0.951111111,2.973333333,-1.073689557
3.151515152,1.646060606,3.421818182,-1.032987588
3.191919192,2.341010101,3.87030303,-0.995550591
3.232323232,3.035959596,0.318787879,0.238621432
3.272727273,3.730909091,0.767272727,0.269528482
3.313131313,0.425858586,1.215757576,-1.702829441
3.353535354,1.120808081,1.664242424,-1.678452336
3.393939394,1.815757576,2.112727273,-1.657340205
3.434343434,2.510707071,2.561212121,-1.639493046
3.474747475,3.205656566,3.00969697,-1.624910861
3.515151515,3.900606061,3.458181818,-1.613593648
3.555555556,0.595555556,3.906666667,-3.605541409
3.595959596,1.290505051,0.355151515,-2.400754142
3.636363636,1.985454545,0.803636364,-2.399231848
3.676767677,2.68040404,1.252121212,-2.400974528
3.717171717,3.375353535,1.700606061,-2.40598218
3.757575758,0.07030303,2.149090909,-4.414254805
3.797979798,0.765252525,2.597575758,-4.425792404
3.838383838,1.46020202,3.046060606,-4.440594975
3.878787879,2.155151515,3.494545455,-4.458662519
3.919191919,2.85010101,3.943030303,-4.479995036
3.95959596,3.545050505,0.391515152,-3.304592526
4,0.24,0.84,-5.332454989
